"code","name","Artista","Musica","Letra"
3533,"03533.mp4","Só Pra Contrariar","Outdoor","Já Coloquei Num Outdoor E Em Todos"
3534,"03534.mp4","Cidade Negra","Pensamento","Você Precisa Saber O Que Se Passa"
3535,"03535.mp4","Art Popular","Pimpolho","Pimpolho É Um Cara Bem Legal Pena Que"
3536,"03536.mp4","Clara Nunes","Portela Na Avenida","Portela Eu Nunca Vi Coisa Mais Bela"
3537,"03537.mp4","Raça Negra","Preciso Ter Alguém","De Novo A Solidão Bateu, Eu Vou Chorar"
3538,"03538.mp4","Simony","Quando Te Vi","Nem O Sol, Nem O Mar, Nem O Brilho"
3539,"03539.mp4","Zezé Di Camargo E Luciano","Sem Medo De Ser Feliz","Tira Essa Paixão Da Cabeça Tira Essa"
3540,"03540.mp4","Altemar Dutra","Sentimental Demais","Sentimental Eu Sou, Eu Sou Demais"
3541,"03541.mp4","Grupo Malícia","Sentinela","Na Janela Do Meu Quarto Uma Imagem"
3542,"03542.mp4","Katinguelê","Só Pedindo Bis","Não Vejo A Hora E O Momento De Te"
3543,"03543.mp4","Só Pra Contrariar","Te Amar Sem Medo","Tá Difícil Esquecer A Paixão Que"
3544,"03544.mp4","Art Popular","Temporal","Faz Tempo Que A Gente Não É Aquele"
3545,"03545.mp4","Negritude Júnior","Tic-Tac","Bate Forte O Tambor Eu Quero É Tique Tique"
3546,"03546.mp4","Só Pra Contrariar","Tributo Aos Mamonas","Apesar Do Pouco Tempo Que Eu Fico"
3547,"03547.mp4","Márcia Freire","Vermelho","A Cor Do Meu Batuque Tem O Toque"
3548,"03548.mp4","Chitãozinho E Xororó","Vez Em Quando Vem Me Ver","Não Toque Em Meus Cabelos Feito"
3549,"03549.mp4","Antonio Carlos E Jocafi","Você Abusou","Você Abusou Tirou Partido De Mim"
3550,"03550.mp4","Roupa Nova","Volta Pra Mim","Amanheci Sozinho Na Cama Num Vazio"
3551,"03551.mp4","Chitãozinho E Xororó","60 Dias Apaixonado","Viajando Pra Mato Grosso"
