code;name;artista;musica;letra
02614;02614.mp4;Strokes (The);Last Night;Last Night She Said Oh Baby I Feel So...
02615;02615.mp4;Kiss;Love Gun;I Really Love You Baby...
02616;02616.mp4;Bee Gees;Love So Right;She Came On Like The Night...
02617;02617.mp4;Heart;Magic Man;Cold Late Night So Long Ago...
02618;02618.mp4;Silverchair;Miss You Love;Millionaire Say Got A Big Shot Deal...
02619;02619.mp4;Beatles;Money;The Best Things In Life Are Free...
02620;02620.mp4;Nightwish;Nemo;This Is Me For Forever...
02621;02621.mp4;Heart;Never;Uh Uh Oh.... Hey Baby I'M Talkin To You...
02622;02622.mp4;Bad Finger;No Matter What;No Matter What You Are I Will Always...
02623;02623.mp4;Blind Melon;No Rain;Uh Uh Uh Uh Uh... All I Can Say Is That My...
02624;02624.mp4;Beatles;Nowhere Man;He'S A Real Nowhere Man Sitting In His...
02625;02625.mp4;Janis Joplin;Piece Of My Heart;Oh Come On... Didn'T I Make You Feel...
02626;02626.mp4;Lu Alone;Postcard;There'S No Postcard That Enters This World...
02627;02627.mp4;Adele;Set Fire To The Rain;I Let It Fall My Heart And As I Fell...
02628;02628.mp4;The White Stripes;Seven Nation Army;I'M Going To Fight Them Off A Seven Nation...
02629;02629.mp4;Justin Timberlake;Sexy Back;I'M Bringin' Sexy Back Them Other Boys...
02630;02630.mp4;America;Sister Golden Hair;Well I Tried To Make It Sunday...
02631;02631.mp4;Cyndi Lauper;The Goonies R Good Enough;Here We Are Hanging' On To Strains...
02632;02632.mp4;Mr. Big;To Be With You;Hold On Little Girl Show Me What...
02633;02633.mp4;Rihanna;Unfaithful;Story Of My Life Searching For The Right...
02634;02634.mp4;Eagles;Waiting In The Weeds;It'S Comin' On The End Of August...
02635;02635.mp4;Justin Timberlake;What Goes Around Comes Around;Hey Girl Is He Everything You Wanted...
02636;02636.mp4;Beatles;When I'M Sixty-Four;When I Get Older Losing My Hair...
02637;02637.mp4;Katy Perry;Waking Up In Vegas;In The Town Where I Was Born There Lived..
02638;02638.mp4;Michael Jackson;You Are Not Alone;Another Day Has Gone I'M Still All Alone...
02639;02639.mp4;Guns N' Roses;You Could Be Mine;Indisponível ....................................
02640;02640.mp4;David Castle;You'Re Too Far Away;You Say That You'Re Been Used...
02641;02641.mp4;Smash Mouth;All Star;Somebody Once Told Me...
02642;02642.mp4;Kiss;Detroit Rock City;I Feel Uptight On A Saturday Night...
02643;02643.mp4;Beatles;From Me To You;Da Da Da... If There'S Anything That You Want...
02644;02644.mp4;Michael Bublé;Hold On;Didn'T They Always Say We Were The Lucky...
02645;02645.mp4;Beatles;I'Ll Be Back;You Know If You Break My Heart I'Ll Go...
02646;02646.mp4;Shania Twain;I'M Gonna Getcha Good;Let'S Go Don'T Wantcha For The Weekend...
02647;02647.mp4;Kenny Rogers & Dolly Parton;Islands In The Stream;Baby When I Met You There Was Peace On...
02648;02648.mp4;Tina Turner E Al Green;Let'S Stay Together;I'M I'M So In Love With You Whatever You Want...
02649;02649.mp4;Jonny Lang;Lie To Me;Lie To Me And Tell Me Everything Is All Right...
02650;02650.mp4;Avril Lavigne;My World;Please Tell Me What Is Takin' Place...
02651;02651.mp4;Asia;Only Time Will Tell;You'Re Leaving Now It'S In Your Eyes...
02652;02652.mp4;Aretha Franklin;Respect;What You Want Baby I Got It What You Need...
02653;02653.mp4;Green Day;She;She She Screams In Silence A Sullen Riot...
02654;02654.mp4;Terry Winter;Summer Holiday;On A Summer Day I Met You...
02655;02655.mp4;Neil Diamond;Sweet Caroline;Where It Began I Can'T Begin To Knowing...
02656;02656.mp4;Bruce Dickinson;Tears Of The Dragon;For Too Long Now There Were Secrets In My Mind...
02657;02657.mp4;Natalie Imbruglia;Torn;I Thought I Saw A Man Brought To Life
02658;02658.mp4;Jennifer Lopez;Waiting For Tonight;Like A Movie Scene In The Sweetest Dreams...
02659;02659.mp4;Iron Maiden;Wasting Love;Maybe One Day I'Ll Be An Honest Man...
02660;02660.mp4;Cyndi Lauper;Who Let In The Rain;Things Like This Can Always Take A Little Time...
02661;02661.mp4;Wilson Miranda;A Lição;Vá Siga Em Paz Com O Outro Amor
02662;02662.mp4;Raul Seixas;Abre-Te Sésamo;Lá Vou Eu De Novo Um Tanto Assustado
02663;02663.mp4;Banda Cheiro De Amor;Amassadinho;Amassadinho Você Vai Ver Amassadinho Vou
02664;02664.mp4;Os Incríveis;Arco-Íris Azul (Kokorono Niji);Saudade É A Lembrança Do Amor Que Um Dia
02665;02665.mp4;Claudia Leitte;Beijar Na Boca;Eu Estava Numa Vida De Horror Com A Cabeça
02666;02666.mp4;Monique Kessous;Coração;Quando Bate O Meu Coração Por Onde Eu
02667;02667.mp4;Renato E Seus Blue Caps;Esqueça E Perdoe;Se Um Dia Eu Disse Cansei De Você
